,series_id,year,value,Month,lfst_code,periodicity_code,series_title,activity_code,ages_code,class_code,duration_code,education_code,entr_code,expr_code,indy_text
80,LNS11000001,2016,84450.0,5,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
81,LNS11000001,2016,84839.0,6,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
82,LNS11000001,2016,84865.0,7,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
83,LNS11000001,2016,85051.0,8,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
84,LNS11000001,2016,85147.0,9,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
85,LNS11000001,2016,85071.0,10,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
86,LNS11000001,2016,84954.0,11,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
87,LNS11000001,2016,85028.0,12,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
88,LNS11000001,2017,84945.0,1,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
89,LNS11000001,2017,84935.0,2,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
90,LNS11000001,2017,84896.0,3,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
91,LNS11000001,2017,85103.0,4,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
92,LNS11000001,2017,84928.0,5,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
93,LNS11000001,2017,85063.0,6,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
94,LNS11000001,2017,84989.0,7,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
95,LNS11000001,2017,85296.0,8,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
96,LNS11000001,2017,85654.0,9,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
97,LNS11000001,2017,85309.0,10,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
98,LNS11000001,2017,85231.0,11,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
99,LNS11000001,2017,85383.0,12,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
100,LNS11000001,2018,85854.0,1,10,M,(Seas) Civilian Labor Force Level - Men,0,00,0,0,00,0,0,All Industries
